lat,lon,east,north,depth,mag
46.77300,-121.79183,592239.70307,5180647.59129,18.46300,0.34000
46.17133,-122.12183,567788.44789,5113458.50222,25.29900,1.50000
46.78333,-121.82217,589906.16876,5181760.31945,19.57000,2.70000
46.17383,-122.11034,568672.27911,5113746.14841,26.17700,0.50000
46.17433,-122.13800,566536.62505,5113778.15594,26.18300,0.20000
46.76233,-121.88934,584811.94999,5179352.15345,13.56100,1.62000
46.80350,-121.86367,586706.01043,5183955.00271,11.52900,1.10000
46.80800,-121.85934,587029.14355,5184459.83485,14.00900,0.82000
46.81183,-121.85833,587100.01934,5184886.54856,17.08200,1.14000
46.18383,-122.15650,565097.42624,5114818.36556,27.65600,1.00000
46.18133,-122.12167,567788.50898,5114569.73665,23.65700,1.20000
46.79867,-121.94317,580647.13993,5183333.63930,13.92600,1.34000
46.77567,-121.91333,582959.55835,5180808.90899,17.85500,1.06000
46.17133,-122.14900,565691.12424,5113435.66895,26.60300,0.50000
46.17533,-122.13400,566844.16708,5113892.62497,25.68700,1.00000
46.16550,-122.10217,569313.37757,5112827.70269,26.27500,0.40000
46.17933,-122.14684,565848.31050,5114326.33628,28.63500,1.10000
46.18833,-122.12350,567638.68598,5115345.94559,23.61500,0.20000
46.17867,-122.11867,568023.32527,5114276.75003,25.61700,-0.10000
46.16617,-122.10050,569441.45972,5112903.60488,24.15900,0.60000
46.14717,-122.14433,566080.53134,5110755.13732,28.72400,0.40000
46.15300,-122.08984,570281.17720,5111449.66935,27.02300,1.30000
46.16433,-122.07867,571129.10313,5112718.48172,24.76000,0.30000
46.18383,-122.13416,566821.51888,5114836.92412,23.60000,0.93000
46.14433,-122.13683,566663.15783,5110445.85258,22.63300,0.41000
46.16917,-122.10567,569038.58311,5113232.42636,21.51700,0.60000
46.16667,-122.09300,570019.82389,5112965.74451,22.73300,0.49000
46.15683,-122.09300,570032.30870,5111872.42730,27.06800,0.54000
46.14767,-122.18650,562823.32314,5110776.48166,31.71000,0.14000
46.15700,-122.06583,572129.96017,5111915.62880,36.93300,0.77000
46.15200,-122.10717,568944.23383,5111323.37394,23.71300,0.54000
46.16433,-122.11784,568105.08550,5112684.14846,23.95900,0.70000
46.15500,-122.11400,568413.10594,5111650.79711,25.83100,0.51000
46.15267,-122.12750,567373.54062,5111380.37437,23.30500,0.41000
46.15900,-122.14600,565937.43279,5112068.17350,21.78500,0.23000
46.15517,-122.14333,566148.17257,5111644.84419,25.44000,0.45000
46.14067,-122.08800,570438.98511,5110081.32265,23.84000,0.44000
46.18633,-122.13817,566509.03145,5115111.33208,24.72000,0.21000
46.16217,-122.11617,568236.68414,5112445.58523,23.55000,0.39000
