station,n_files,size,xml,edi,png,zips
mshO012,12,1376601075,True,True,True,True
mshL020,15,1023737680,True,True,True,True
mshR014,9,965074825,True,True,True,True
mshS015,16,1455765285,True,True,True,True
mshG011,8,730430211,True,True,True,True
mshF012,16,1020422202,True,True,True,True
mshI019,11,1178447451,True,True,True,True
mshG018,9,938001466,True,True,True,True
mshN012,12,1257914810,True,True,True,True
mshH010,25,1188372280,True,True,True,True
mshD011,9,885262026,True,True,True,True
mshT013,12,1267254071,True,True,True,True
mshM013,9,774121553,True,True,True,True
mshJ016,4,1289259658,True,True,True,True
mshE012,38,3166684969,True,True,True,True
mshE014,24,1244336939,True,True,True,True
mshI016,17,2058046754,True,True,True,True
mshC011,25,1291049926,True,True,True,True
mshF010,10,1249183032,True,True,True,True
mshG012,11,1160565625,True,True,True,True
mshH016,27,1340154116,True,True,True,True
mshK018,11,1050660353,True,True,True,True
mshK014,9,888666730,True,True,True,True
mshJ012,15,1876527745,True,True,True,True
mshO015,12,1203477011,True,True,True,True
mshQ012,12,1472989526,True,True,True,True
mshP015,12,1321814312,True,True,True,True
mshE011,24,1050236896,True,True,True,True
mshK021,9,559525075,True,True,True,True
mshR011,12,1627442724,True,True,True,True
mshQ015,12,1325531268,True,True,True,True
mshK011,9,855853850,True,True,True,True
mshG013,25,1218807442,True,True,True,True
mshU011,14,1731139779,True,True,True,True
mshG015,25,2188246401,True,True,True,True
mshL013,9,914373592,True,True,True,True
mshJ013,4,1065269953,True,True,True,True
mshI013,20,2454780673,True,True,True,True
mshQ013,12,1219440507,True,True,True,True
mshL017,12,1304361685,True,True,True,True
mshF013-5,11,938445695,True,True,True,True
mshK017,5,1574172781,True,True,True,True
mshK020,13,930030511,True,True,True,True
mshQ011,9,1000144624,True,True,True,True
mshJ014,12,1567838144,True,True,True,True
mshK010,11,1013253613,True,True,True,True
mshS011,12,1321632121,True,True,True,True
mshC010,28,1405079403,True,True,True,True
mshO013,16,1795593900,True,True,True,True
mshF013,22,1981392885,True,True,True,True
mshF014,9,866623098,True,True,True,True
mshS010,12,1205693501,True,True,True,True
mshO014,16,1909942753,True,True,True,True
mshU013,12,1247066998,True,True,True,True
mshE010,22,1248348933,True,True,True,True
mshR015,10,1116134381,True,True,True,True
mshS014,10,1024460114,True,True,True,True
mshH018,15,1128901104,True,True,True,True
mshL014,7,557574399,True,True,True,True
mshP017,12,1208648912,True,True,True,True
mshN010,9,800753452,True,True,True,True
mshI014,9,939446883,True,True,True,True
mshR018,12,1302406165,True,True,True,True
mshM014,9,843758231,True,True,True,True
mshM015,13,665600775,True,True,True,True
mshU012,11,1239229723,True,True,True,True
mshI011,14,2038787256,True,True,True,True
mshO011,9,877083340,True,True,True,True
mshP013,12,1286327249,True,True,True,True
mshH011,14,1572061250,True,True,True,True
mshG016,11,1236027138,True,True,True,True
mshH020,7,327601823,True,True,True,True
mshF014-5,10,874003190,True,True,True,True
mshP014,12,1190116503,True,True,True,True
mshE013,12,1297161381,True,True,True,True
mshS012,12,1254339820,True,True,True,True
mshU010,12,1710811890,True,True,True,True
mshG019,8,712251059,True,True,True,True
mshJ017,9,920505219,True,True,True,True
mshJ019,11,1007067756,True,True,True,True
mshM010,9,926294343,True,True,True,True
mshR010,24,3831320797,True,True,True,True
mshI017,4,1141527069,True,True,True,True
mshJ020,8,512487829,True,True,True,True
mshL016,29,3159907412,True,True,True,True
mshH019,13,1037138536,True,True,True,True
mshL015,9,835050480,True,True,True,True
mshI021,15,1882043567,True,True,True,True
mshS013,12,1329870077,True,True,True,True
mshQ016,12,1324162797,True,True,True,True
mshK016,12,1458503018,True,True,True,True
mshH017,10,1188690510,True,True,True,True
mshJ010,5,1252809949,True,True,True,True
mshR012,9,1108037486,True,True,True,True
mshK015,6,336984962,True,True,True,True
mshG020,12,1334038351,True,True,True,True
mshR016,12,1204083133,True,True,True,True
mshP011,12,1327135967,True,True,True,True
mshN011,9,924663469,True,True,True,True
mshH013,20,2651960418,True,True,True,True
mshQ010,28,1341156501,True,True,True,True
mshF011,22,1036060455,True,True,True,True
mshL022,16,973846692,True,True,True,True
mshM012,15,1682322129,True,True,True,True
mshI020,10,1189721479,True,True,True,True
mshJ011,11,1168466281,True,True,True,True
mshL019,11,1164769355,True,True,True,True
mshQ014,10,1092272927,True,True,True,True
mshP012,8,731231511,True,True,True,True
mshT011,12,1569776816,True,True,True,True
mshC012,29,3786053043,True,True,True,True
mshI012,11,1252034962,True,True,True,True
mshL021,13,767250516,True,True,True,True
mshD010,24,2980258745,True,True,True,True
mshK022,12,1350244359,True,True,True,True
mshN013,12,1219456676,True,True,True,True
mshJ018,10,647569017,True,True,True,True
mshI022,9,827538282,True,True,True,True
mshM011,7,657753089,True,True,True,True
mshG014,16,612615428,True,True,True,True
mshF015,11,1165867136,True,True,True,True
mshL011,12,1489220736,True,True,True,True
mshL010,8,768067045,True,True,True,True
mshG010,9,867688449,True,True,True,True
mshC014,9,903718557,True,True,True,True
mshI015,4,923556698,True,True,True,True
mshK012,7,3267134265,True,True,True,True
mshH014,4,942369762,True,True,True,True
mshP016,12,1292651389,True,True,True,True
mshT012,12,1400966901,True,True,True,True
mshR017,12,1364129607,True,True,True,True
mshR013,8,735010631,True,True,True,True
mshC013,11,1146276880,True,True,True,True
mshG016-5,22,1061307788,True,True,True,True
mshL018,9,901866522,True,True,True,True
mshI018,13,855981757,True,True,True,True
mshT010,12,1570015995,True,True,True,True
mshK013,8,772969844,True,True,True,True
mshO010,15,558337993,True,True,True,True
mshP010,8,757071026,True,True,True,True
mshL012,11,1199400024,True,True,True,True
mshG017,10,914931651,True,True,True,True
mshH012,20,2305738549,True,True,True,True
mshH015,16,1036582605,True,True,True,True
mshJ015,12,1544222946,True,True,True,True
mshK019,12,840696175,True,True,True,True
mshI010,11,1433822169,True,True,True,True
